USA-COO,USA-SEA,USA-POR

USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-JCS,USA-RAL
USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-KAN,USA-OKL
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-NYM,USA-SLT
USA-CRS,USA-CTN
USA-HOU,USA-PHI,USA-ATL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT
USA-BOI,USA-ANC

USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX,USA-AUT

USA-LAX,USA-SAN
USA-DET,USA-BOS

