USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN

USA-SFO,USA-MIN,USA-PIT,USA-WAS

USA-NEO,USA-NYM,USA-SLT

USA-ANC,USA-ABU,USA-VIR
USA-HOU,USA-PHI,USA-ATL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE



USA-COO,USA-SEA,USA-POR

USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS

USA-JCS,USA-HON,USA-IOW,USA-LIN

USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-BOI,USA-BIR
