

USA-JAF,USA-MIN,USA-KAN,USA-NYM
USA-BOI,USA-BIR
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK

USA-ANC,USA-POR

USA-SFO,USA-DEN,USA-WAS
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN



USA-SEA,USA-SAT
USA-MIW,USA-NEO,USA-OKL,USA-SLT
USA-JCS,USA-HON,USA-IOW,USA-LIN

USA-CRS,USA-AUT,USA-CTN,USA-NAS

USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-HOU,USA-PHI
