Topic 00		1645.8852641043377
	email	110.74816541613423
	info	98.14222063639556
	can	50.30363003455168
	number	45.6669352837813
	via	44.01140697990783
	didnt	42.1596317716643
	will	41.97393716609327
	include	41.953936696319786
	them	41.78614281741861
	notify	41.64907686696698
	apply	30.28398947693023
	your	25.458470957161957
	2012	25.05636954553685
	products	24.48826653198021
	location	24.283675601963072
	shift	22.75315496523381
	calls	21.280033895102804
	recruiters	19.90354543114227
	principals	19.487341722444285
	position	19.45681885378933


Topic 01		1226.942807201332
	customer	34.35240075070865
	position	30.871487530541224
	service	30.036599166334593
	equipment	26.507647102582116
	work	24.477175600853435
	products	24.317544638487487
	customers	23.754485462296564
	skills	22.38252355056791
	repair	19.85235615791566
	calls	19.136593016442596
	parts	18.813389173159223
	solutions	17.768877480389147
	sales	15.730505132285304
	experience	15.531019121654708
	communication	13.75313255751594
	principals	13.44850058659199
	only	13.242793389950542
	2012	12.302951835437067
	location	12.059486718881388
	dont	12.004917569499975


Topic 02		1255.6658013666786
	web	43.10382920465535
	software	41.923217276155775
	code	37.766596099486435
	required	37.058461967759804
	experience	28.652375389019234
	business	20.061903265879025
	team	20.061150616142882
	applications	19.836634205104655
	solutions	19.26066662036309
	including	19.10752775355801
	etc	16.887537560856682
	related	16.57165398503491
	that	16.17346693271417
	systems	16.170079884475182
	database	14.952807394145708
	data	14.108237238837251
	plus	13.906222293794622
	development	13.677718463390518
	our	12.447227384391663
	developer	12.305858899280306


Topic 03		1162.2050615474889
	location	37.21794270356844
	new	35.4541519803945
	products	35.131931057789885
	2012	35.01958983319564
	only	34.87383328070741
	calls	30.89308825778639
	recruiters	30.721871276819115
	dont	29.035170558467108
	principals	29.02354406933853
	have	25.546809239870473
	your	21.17721384804927
	work	18.518947251598227
	time	17.23402524914359
	looking	15.14042233419115
	design	14.750941477631185
	working	13.395486346653465
	experience	13.102874329648976
	email	11.85569254081183
	cash	11.422609377108461
	part	11.115801399787692


Topic 04		995.3617462804859
	our	28.7817172175763
	skills	24.182919840872454
	experience	18.58571361290771
	position	16.98171690733565
	2012	16.743973451747266
	business	15.585440062311946
	recruiters	14.684543350833357
	calls	14.281061902804254
	products	14.12446494303404
	location	14.098294886350008
	principals	13.153213495077841
	info	13.141303721153268
	email	12.970804555228696
	personal	12.952381140758037
	dont	12.871088871875331
	only	12.553329299812837
	organization	12.346459190751586
	its	12.257028713595393
	include	11.979997299070321
	organizations	10.759694734977813


Topic 05		1441.7768594491308
	customer	89.26841620008582
	service	61.38609876206574
	calls	37.61823937747029
	2012	31.845267090346372
	products	29.78083811294614
	skills	29.5348697229826
	location	28.43806916606598
	recruiters	26.97530896602517
	support	25.695709087231812
	principals	22.95843945667537
	dont	22.515778169144966
	only	21.260328955951692
	per	19.84815405668982
	great	18.943839281245587
	provide	17.750901297833092
	strong	17.65972931312116
	time	15.694143227767935
	opportunity	15.680265144129702
	telecommuting	15.53338161848344
	work	14.852097602480615


Topic 06		1720.7495666847249
	experience	36.579721983018935
	products	33.58794082660533
	2012	32.881677122786805
	location	32.10893041830599
	calls	30.893938257807335
	dont	30.88949003201777
	our	29.94108816168947
	principals	29.50907216808888
	recruiters	29.372207203504296
	repair	27.282594576034036
	only	26.415681735804306
	looking	25.22065637805872
	service	24.909208670036342
	have	24.69241586146874
	sales	22.34893934517286
	email	22.065201068375643
	team	19.761399132209696
	new	18.538422336215945
	technician	17.949869133793882
	people	16.481556791307867


Topic 07		2887.9808442907142
	work	61.25497547939554
	while	49.05703560160647
	sales	47.1158149495396
	truck	46.37274020136795
	customer	38.83707806289905
	ability	38.350967311256525
	store	34.173391596648045
	products	31.218937091484293
	vehicle	28.869100723670627
	customers	28.676150377958432
	required	28.132376155901675
	requirements	24.70306935267395
	per	23.317506737745134
	class	22.845393024194358
	have	22.017222276175694
	from	21.9795071075987
	calls	21.65841233336354
	delivery	21.48008571892528
	items	21.375915633387578
	shift	21.344461560933983


Topic 08		1092.9408012188517
	need	30.96434834367171
	its	30.328412926865237
	looking	26.727472371219985
	take	19.342410630594088
	2012	19.090629700846975
	location	18.862864345980704
	per	18.79278008645526
	your	18.209935024495948
	food	17.950498416276798
	week	17.41426103863427
	but	16.519927734328565
	will	16.350453835816168
	also	15.494577422245449
	hours	15.05826374989441
	some	13.40400866344356
	pay	13.365144955677989
	one	13.243707953954583
	work	12.939476222049587
	just	11.861418558650968
	interested	11.505459350326783


Topic 09		1569.8910927045144
	our	46.828011951722885
	service	32.38959110827297
	sales	28.262775486073288
	customer	25.372721593416244
	only	20.99842167086388
	business	20.71425844908876
	insurance	19.931635607924463
	skills	19.371210257770322
	calls	19.14542807411123
	products	19.02856339841296
	good	17.656501734275235
	have	17.33427276162528
	2012	17.16750869827163
	strong	16.85538934330413
	dont	16.274564279777014
	pay	16.182080802014788
	recruiters	16.1452692620425
	principals	15.953552403897753
	interview	15.032626489093158
	candidates	15.008902453771746


Topic 10		555.358834134941
	have	18.836834098523802
	will	15.66142234482771
	client	13.717616564244796
	application	10.982568588329329
	calls	10.044819335721822
	photos	9.627425187763233
	work	9.242768073667715
	been	8.439535426988947
	after	8.261281527726254
	emails	8.10346457315014
	maintenance	7.952330368199458
	during	7.913392327233154
	help	7.458644698483448
	capable	7.414766233142437
	these	7.331455789717422
	support	7.052853297760372
	day	6.8404862046281805
	property	6.412633943601765
	receive	6.098739789006515
	our	5.9859497752285


Topic 11		876.0158037899116
	sales	38.2438465760542
	position	28.057485365706853
	calls	22.732105865916633
	internet	19.999854666453963
