28,37
43,34,27,49,41,44,36
10,42,13,21
33,36,39,41,44,17,54,25,22
0,9,2,45,23,18
3,4,5,6,40,11,47,50,51,24,26,38,30
32,35,19,12,31
8,2,18,23
1,7,12,46,16,20,53,35
14
48
52,29
