Topic 00		151932.18241053232
	center	2743.3680014970287
	central	2359.903593301239
	conditioning	2136.329923129747
	hardwood	2080.0185486067035
	renovated	2026.3832769165278
	sleeps	1961.751875847639
	modern	1845.9830431086225
	dishwasher	1712.901879434525
	doorman	1709.4297864717096
	granite	1651.44255298921
	fitness	1631.1335955040524
	onsite	1575.9960441052913
	storage	1574.5147046101997
	washerdryer	1558.842580797389
	business	1472.5528090417629
	concierge	1432.2035178671656
	floors	1405.9505192594486
	elevator	1373.103888291547
	closet	1312.0066703891912
	balcony	1258.3145425978914


Topic 01		144259.54611984603
	listing	3150.6279254671267
	click	2809.937534064544
	master	2500.1692048333766
	realty	2396.1348489478746
	courtesy	2171.657919229408
	details	2083.2846133135718
	williams	1961.6521187086712
	boise	1796.0843599230668
	keller	1781.3385990168463
	information	1518.3917002234666
	custom	1435.1771343554467
	spacious	1289.9628644908298
	beautiful	1126.3440065851817
	eagle	1047.3744694895788
	granite	1040.2085852724554
	bathrooms	1016.6766562750062
	enjoy	981.64346918619
	private	979.9317085519729
	river	978.1761804258673
	location	965.8272667996512


Topic 02		91195.0093348468
	boston	1327.653828587252
	residential	1219.540113170635
	brokerage	1058.6033443307247
	listing	891.9752340043428
	primary	850.3360007258175
	national	846.3550562401581
	newbury	791.7114973862521
	02115	790.9957900554434
	condo	778.3439417845293
	courtesy	751.1166260303517
	close	724.2433616344647
	location	640.5548217814264
	acres	528.413597874929
	private	507.9994850632021
	cambridge	467.8125349160372
	right	436.922728773077
	harvard	426.22494733331024
	complete	420.10706679287784
	beautiful	413.63238060148456
	offers	408.49011135284013


Topic 03		58283.55303830236
	information	908.4006466585208
	showing	643.964923220414
	lincoln	555.6694286506556
	columbus	553.1157513907798
	yahoo	535.1877903899781
	google	510.8899147679897
	accurate	454.95478994399684
	deemed	448.69468526097586
	guaranteed	446.66287740448314
	grove	429.8620957607761
	located	377.5694074857364
	details	362.21587932189465
	personal	357.00792456466115
	other	355.3952540884666
	realty	339.4175974784895
	street	329.4392195752256
	south	316.69337975915516
	today	310.42309792380934
	canal	307.04453562834664
	estate	300.21452533979357


Topic 04		93665.88423482052
	owner	3462.81749016006
	finance	3033.1402399546782
	homes	1938.4305932689142
	lease	1081.136014647198
	credit	879.7306575055592
	short	816.1757262952995
	about	671.4404709298432
	these	657.5003820467788
	houses	649.1330386454936
	payment	640.6433244940299
	first	628.145838258257
	youre	616.13902454938
	program	573.8563381582554
	looking	563.8957674773874
	option	554.0640005486321
	there	476.7238647535164
	properties	473.57625622986984
	purchase	440.8532001558693
	financing	437.1791619197722
	email	414.7941637932278


Topic 05		100782.90967043774
	photos	1625.3019711771267
	master	1581.2858509778237
	features	1503.505476520426
	additional	1450.6614916226663
	contact	1289.3315537747426
	anchorage	1223.1871513271217
	keller	1184.1874918486901
	williams	1178.6098785852728
	partners	974.8571642586656
	advantage	954.5769773866285
	information	906.8762548825614
	bathrooms	904.8059263670713
	exterior	879.0993483302814
	opportunity	818.1224423270069
	freeman	795.9983378949139
	description	793.929309684378
	front	785.4363858106539
	6477653	783.9998088715952
	unspecified	761.3622198710325
	views	760.828089543722


Topic 06		184281.9405580722
	deposit	5772.770312778604
	included	3552.012021487192
	lease	3198.5533040602586
	month	2964.1071050030996
	security	2811.431898537344
	utilities	2383.184211886325
	street	2209.1507787065616
	water	1973.7992320170324
	google	1896.0683316411123
	yahoo	1882.924519230529
	close	1877.4486770951412
	required	1861.6481558412993
	duplex	1858.8992794363144
	quiet	1851.8956979408595
	electric	1827.158181165381
	washer	1679.2391188817464
	section	1619.2259516120407
	tenant	1607.5816996700837
	school	1597.1536140618282
	application	1540.330420270059


Topic 07		59623.487082230466
	wooof	2075.763823666045
	purrr	2059.085950442386
	information	605.9172394810635
	tortor	525.99975782251
	downtown	517.0881023154325
	ipsum	498.9996051991458
	rental	477.89629134414764
	adipiscing	470.9998300887006
	mauris	449.9998629943637
	lorem	432.9998746242628
	about	405.3773700858932
	district	396.58243857649694
	reference	396.2193736995646
	nulla	375.99988555420816
	magna	371.86315194858105
	sapien	364.99986521224275
	pellentesque	352.99971929618425
	felis	349.9997694100441
	ornare	335.99988015262124
	metus	335.9997867842155


Topic 08		72604.10697219633
	homes	950.1725541798859
	rates	714.3783203462701
	royal	703.9370672789041
	raesz	700.9959186951273
	resort	584.2592924005172
	austin	517.0793051807311
	hotel	492.187408957604
	dates	470.99992493243224
	cancun	469.99998907323715
	reservation	469.7949616299999
	service	432.18367317104617
	beach	412.0902592244672
	david	408.8597444727304
	inclusive	378.0675604525354
	email	362.8283124566236
	resorts	359.0781133761957
	broker	347.40525540592023
	everything	345.06426062436947
	terrie	341.99956324336307
	estate	339.2903419138001


Topic 09		78033.88131325316
	photo	6696.57616448275
	additional	1231.2093479985078
	photos	1188.1670693604333
	downtown	1104.780931101397
	month	1013.4754756116757
	level	1002.8687783299337
	based	974.4988697863332
	google	874.8806982890017
	yahoo	873.46648327553
	public	694.1139319592835
	unspecified	659.3411158694062
	pictures	658.466442739885
	second	631.1155924812566
	description	611.9454788829645
	present	597.5186402729894
	profit	593.1864113685634
	results	588.8057261416711
	seventyeight	585.999973500265
	below	580.9631657326556
	bathrooms	569.8939941021132


Topic 10		68887.65908385749
	market	1869.5805530838945
	homes	1597.1930159272038
	estate	1560.013464138219
	price	1550.2376827814087
	idaho	1279.151228121616
	prices	1207.8897960277172
	click	944.9574752456097
	report	901.2396109753278
	listings	799.8663532500547
	previous	755.3561528874549
	value	683.9017103569693
