USA-JCS
USA-SFO
USA-HON
USA-MIW
USA-JAF
USA-MAW
USA-MIN
USA-PIT
USA-IOW
USA-NEO
USA-TLS
USA-KAN
USA-HOU
USA-DEN
USA-PHX
USA-WAS
USA-CRS
USA-BOI
USA-COO
USA-NYM
USA-PHI
USA-AUT
USA-ANC
USA-ABU
USA-CTN
USA-STL
USA-DET
USA-CIN
USA-DES
USA-DAL
USA-REN
USA-SEA
USA-SAT
USA-IDO
USA-TPA
USA-OKL
USA-RAL
USA-BIR
USA-VIR
USA-LAX
USA-OMA
USA-CUO
USA-ATL
USA-SLT
USA-CLE
USA-LIN
USA-POR
USA-BOS
USA-ORL
USA-SAN
USA-LIT
USA-RON
USA-CHI
USA-LEK
USA-NAS
