USA-PHX
USA-SFO,USA-MIN,USA-WAS
USA-CHI
USA-DAL
USA-HOU,USA-PHI
USA-ATL
USA-DET,USA-BOS
USA-BOI,USA-ANC
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-COO
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-ORL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-NEO,USA-NYM,USA-SLT
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-PIT
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
