USA-NEO,USA-NYM,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-ORL
USA-CHI
USA-LAX,USA-SAN
USA-COO
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-SEA,USA-POR
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-DET,USA-BOS
USA-DAL
USA-ATL
USA-BOI,USA-ANC
USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-DEN
