USA-HOU,USA-PHI
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-LAX,USA-SAN
USA-DAL
USA-NEO,USA-BIR,USA-SLT
USA-BOI,USA-ANC
USA-ATL
USA-CHI
USA-OKL
USA-DEN,USA-CUO,USA-CLE
USA-JAF,USA-KAN,USA-NYM
USA-BOS
USA-COO,USA-SEA,USA-POR
USA-PHX
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DET
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
