USA-SFO,USA-JAF,USA-KAN,USA-NYM
USA-DAL
USA-DET,USA-BOS
USA-MIN
USA-ORL
USA-PHX
USA-BOI,USA-ANC
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-MIW,USA-NEO,USA-OKL
USA-HOU,USA-PHI
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-COO,USA-SEA,USA-POR
USA-PIT,USA-WAS,USA-SLT
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN
