USA-ATL
USA-DET
USA-CHI
USA-BOS
USA-HOU,USA-PHI
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-PHX
USA-BOI,USA-ANC,USA-POR
USA-PIT
USA-NEO,USA-NYM,USA-SLT
USA-ORL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-LAX,USA-SAN
USA-DEN
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DAL
