USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-COO,USA-POR
USA-LIN
USA-ORL
USA-SEA,USA-SAT,USA-LAX
USA-CHI
USA-BOI,USA-BIR
USA-ATL
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OKL,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-NEO,USA-NYM,USA-SLT
USA-PHX
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-BOS
USA-DET
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-DAL
USA-HOU,USA-PHI,USA-SAN
