USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-LAX,USA-SAN
USA-PHX
USA-ORL
USA-CHI
USA-MIW,USA-NEO,USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-HOU,USA-PHI
USA-BOS
USA-DEN
USA-COO,USA-SEA,USA-POR
USA-DET
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ATL
USA-DAL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-BOI,USA-ANC
