USA-JAF,USA-KAN,USA-NYM
USA-DAL
USA-LAX,USA-SAN
USA-DES,USA-BIR,USA-LEK
USA-MIW,USA-SAT,USA-IDO,USA-OKL
USA-BOI,USA-ANC
USA-CHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-COO
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET,USA-BOS
USA-ORL
USA-PHX
USA-DEN
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-STL,USA-CIN,USA-TPA,USA-RAL,USA-CUO,USA-CLE
USA-ATL
USA-PIT,USA-NEO,USA-WAS,USA-SLT
