USA-NYM,USA-DET
USA-LAX,USA-SAN
USA-CHI
USA-NEO,USA-OKL,USA-SLT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-COO,USA-SEA,USA-POR
USA-BOI,USA-ANC
USA-ORL
USA-HOU,USA-PHI
USA-PIT
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ATL
USA-DEN
USA-BOS
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
