USA-PHX
USA-COO
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-JAF,USA-DES,USA-LEK
USA-NYM,USA-DET,USA-BOS
USA-CHI
USA-ANC
USA-BOI,USA-BIR
USA-SFO,USA-SEA,USA-POR
USA-LIN
USA-ORL
USA-DEN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-HOU,USA-PHI,USA-ATL
USA-MIN,USA-PIT,USA-WAS,USA-CIN,USA-SAT,USA-TPA,USA-SLT
USA-LAX,USA-SAN
