USA-SAT,USA-IDO,USA-OKL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-NEO,USA-SLT
USA-BOS
USA-NYM
USA-ATL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-BOI,USA-ANC
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-TPA,USA-RAL,USA-CUO,USA-CLE
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-ORL
USA-CHI
USA-DEN
