USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-JCS,USA-LIN
USA-PIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-HON,USA-IOW,USA-ANC
USA-ORL
USA-HOU,USA-PHI
USA-PHX
USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-DEN
USA-ATL
USA-BOI,USA-POR
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-DET
USA-CHI
USA-NEO,USA-NYM,USA-SLT
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN,USA-NAS
