USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-CHI
USA-CRS,USA-CTN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-PHX
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-DET
USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-BOS
USA-OKL
USA-BOI,USA-ANC,USA-POR
