USA-MIW,USA-NEO,USA-OKL
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-BOS
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-ATL
USA-PHX,USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-DEN
USA-BOI,USA-BIR
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CHI
USA-LIN
USA-LAX,USA-SAN
USA-COO,USA-SEA,USA-POR
USA-DET
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-HOU,USA-PHI
