USA-HOU,USA-PHI
USA-PIT
USA-COO,USA-SEA,USA-SAT
USA-SFO,USA-MIN,USA-WAS,USA-NYM
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-JAF,USA-KAN
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-OKL
USA-ATL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-BOI,USA-ANC,USA-LIN,USA-POR
USA-NEO,USA-BIR,USA-SLT
USA-DEN
USA-PHX
USA-CHI
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET
USA-DAL
