USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-ORL
USA-LAX,USA-SAN
USA-BOI,USA-ANC
USA-JAF,USA-KAN,USA-OKL
USA-HOU,USA-PHI
USA-CHI
USA-NEO,USA-ATL
USA-DES,USA-BIR,USA-LEK
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-PIT
USA-COO,USA-SEA,USA-POR
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-PHX
USA-DET,USA-BOS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-STL,USA-OMA,USA-CUO,USA-CLE,USA-NAS
