USA-ATL
USA-NEO,USA-NYM,USA-SLT
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DEN
USA-LAX,USA-SAN
USA-COO,USA-SEA,USA-POR
USA-DAL
USA-BOI,USA-BIR
USA-JCS,USA-LIN
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-HON,USA-IOW,USA-ANC
USA-ORL
USA-DET,USA-BOS
USA-CHI
