USA-DAL
USA-LIN
USA-ATL
USA-COO,USA-SEA,USA-POR
USA-CHI
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
USA-DEN,USA-CUO,USA-CLE
USA-BOS
USA-LAX,USA-SAN
USA-NEO,USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-PHX
USA-BOI,USA-BIR
