USA-COO,USA-SEA,USA-POR
USA-ORL
USA-PHX
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-DET
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ATL
USA-MIW,USA-NEO,USA-OKL
USA-BOI,USA-BIR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL,USA-LIN
USA-HOU,USA-PHI
USA-BOS
USA-PIT
USA-DEN
USA-CHI
USA-DAL
USA-LAX,USA-SAN
