USA-DAL
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-HON,USA-IOW,USA-LIN
USA-BOS
USA-CHI
USA-COO
USA-DEN
USA-PHX
USA-ABU,USA-LAX,USA-SAN
USA-ORL
USA-HOU,USA-PHI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-REN,USA-RAL,USA-VIR
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-ATL
USA-BOI,USA-ANC
USA-PIT,USA-NEO,USA-WAS,USA-SLT
USA-NYM,USA-DET
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-JAF,USA-KAN,USA-OKL,USA-OMA
