USA-NEO,USA-NYM,USA-SLT
USA-ATL
USA-PHX,USA-AUT
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-CHI
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LIN
USA-BOS
USA-DEN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-DET
USA-HOU,USA-PHI
USA-COO,USA-OKL
USA-ORL
USA-BOI,USA-ANC
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-DAL
