USA-KAN,USA-STL,USA-CUO,USA-RON,USA-NAS
USA-BOI,USA-POR
USA-HOU,USA-PHI
USA-SEA,USA-SAT,USA-OKL
USA-COO
USA-CHI
USA-DET,USA-BOS
USA-DEN
USA-HON,USA-IOW,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-LAX,USA-CLE,USA-SAN
USA-DAL
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-PIT
USA-PHX
USA-JCS,USA-LIN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-MIW,USA-NEO,USA-BIR
USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-ATL
