USA-PHX
USA-ORL
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-CHI
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-BOS
USA-NEO,USA-NYM,USA-SLT
USA-JCS,USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ATL
USA-BOI,USA-BIR
USA-DET
USA-HOU,USA-PHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DEN
USA-LAX,USA-SAN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
