USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-DET
USA-CHI
USA-OKL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-BIR
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-DAL
USA-MIW,USA-JAF,USA-NEO,USA-KAN
USA-ATL
USA-BOS
USA-ORL
USA-DEN
USA-LAX,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-POR
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-LIN
USA-HOU,USA-PHI
