USA-DEN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-NAS
USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-DET,USA-BOS
USA-PHX
USA-CHI
USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-BOI,USA-POR
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-HOU,USA-PHI
USA-ATL
USA-JCS,USA-CRS,USA-RAL
USA-LAX,USA-SAN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-ORL
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
