USA-ORL
USA-COO,USA-SEA,USA-POR
USA-BOS
USA-DEN,USA-PHX
USA-HOU,USA-PHI
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-CHI
USA-BOI,USA-BIR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-LAX,USA-SAN
USA-OKL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-ATL
USA-DET
USA-LIN
