USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-DEN
USA-PHX
USA-SFO,USA-MIN,USA-NYM
USA-STL,USA-CIN,USA-TPA,USA-RAL,USA-CUO,USA-CLE
USA-BOI,USA-BIR
USA-COO,USA-SEA,USA-SAT
USA-ATL
USA-DET,USA-BOS
USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-JAF,USA-KAN
USA-CHI
USA-PIT,USA-WAS,USA-SLT
USA-JCS,USA-LIN
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-DAL
USA-ORL
