USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-HON,USA-IOW,USA-LIN
USA-ATL
USA-DAL
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-COO,USA-OKL
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-DET
USA-BOI,USA-ANC
USA-DEN
USA-CHI
USA-PHX,USA-AUT
USA-JCS,USA-RAL,USA-VIR
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-BOS
USA-NEO,USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-WAS
