USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-DET
USA-ORL
USA-BOI,USA-ANC
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LAX,USA-OMA,USA-LIT,USA-RON
USA-NYM
USA-HOU,USA-PHI,USA-SAN
USA-PHX
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-ATL
USA-OKL
USA-CHI
USA-BOS
USA-NEO,USA-SLT
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DAL
