USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-BOS
USA-DEN
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DET
USA-BOI,USA-BIR
USA-CHI
USA-ORL
USA-LIN
USA-ATL
USA-HOU,USA-PHI
USA-PHX
USA-COO,USA-OKL
