USA-DET
USA-ORL
USA-NEO,USA-NYM,USA-SLT
USA-CHI
USA-OKL
USA-COO,USA-SEA,USA-POR
USA-DAL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-PIT
USA-BOS
USA-PHX,USA-AUT
USA-MIW,USA-CRS,USA-CTN,USA-BIR,USA-RON,USA-NAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-ANC
USA-LAX,USA-SAN
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-DEN
USA-HOU,USA-PHI,USA-ATL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
