USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CHI
USA-NYM,USA-SLT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DAL
USA-DEN
USA-MIW,USA-NEO,USA-OKL
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-HOU,USA-PHI
USA-PHX
USA-ORL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-ATL
USA-DET,USA-BOS
USA-COO,USA-SEA,USA-POR
USA-BOI,USA-ANC
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
