USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-PIT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-BOI,USA-ANC,USA-POR
USA-HOU,USA-PHI,USA-ATL
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CHI
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-LIN
USA-PHX
USA-DAL
USA-BOS
USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-DEN
USA-DET
USA-ORL
