USA-ATL
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-OKL
USA-JAF,USA-MIN,USA-KAN
USA-BOS
USA-NEO,USA-NYM,USA-SLT
USA-DAL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DEN
USA-HOU,USA-WAS,USA-PHI
USA-PHX
USA-ORL
USA-SFO,USA-SEA,USA-POR
USA-DET
USA-STL,USA-RAL,USA-LAX,USA-OMA,USA-CUO,USA-CLE,USA-SAN
USA-CHI
USA-PIT
