USA-CHI
USA-BOS
USA-NYM,USA-DET
USA-DAL
USA-ATL
USA-COO,USA-SEA,USA-POR
USA-HOU,USA-PHI
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-MIN,USA-PIT
USA-BOI,USA-BIR
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ANC
USA-OKL
USA-LAX,USA-SAN
USA-SFO,USA-DEN,USA-WAS,USA-SAT,USA-SLT
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-PHX
USA-ORL
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
