USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-NYM,USA-DET
USA-PHX
USA-BOI,USA-ANC
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-COO,USA-OKL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-BOS
USA-HOU,USA-PHI
USA-DAL
USA-NEO,USA-BIR,USA-SLT
USA-DEN
USA-ATL
USA-PIT
USA-CHI
USA-CIN,USA-SAT,USA-IDO,USA-TPA
