USA-JCS,0,0,79,0,0,0,0,1,80,0,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,42,0,5,1,0,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0
USA-SFO,0,0,0,0,1,0,92,10,0,0,37,0,1,0,87,0,0,0,27,0,0,0,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0,0,0,1,0,0,0,24,0,0,50,0,0,0,0,0,0,0,0
USA-HON,79,0,0,0,0,0,0,7,99,0,0,0,0,0,0,0,2,0,0,0,0,28,2,0,0,0,0,0,3,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
USA-LEK,0,0,0,38,47,89,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,44,0,46,0,0,0,45,0,0,0,0,0,6,0,0,44,0,0,14,0,0,0,0,0,0,99,0,0,56,35,0,0,0
USA-MIW,0,0,0,0,32,40,0,0,0,9,12,0,0,0,0,14,0,0,0,0,8,0,0,14,43,5,0,0,0,0,4,16,0,5,37,0,0,2,0,0,13,0,0,0,0,0,0,37,0,10,12,28,0,38,33
USA-JAF,0,1,0,32,0,42,1,0,0,20,52,0,0,0,0,0,0,0,6,0,0,0,16,0,19,0,0,0,17,0,0,0,0,0,45,0,0,13,0,0,43,0,0,0,0,0,0,47,0,0,19,5,0,47,1
USA-MAW,0,0,0,40,42,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,53,0,40,0,0,0,54,0,0,0,0,0,6,0,0,53,0,0,17,0,0,0,0,0,0,88,0,0,67,46,0,89,0
USA-MIN,0,92,0,0,1,0,0,4,0,0,34,0,0,0,89,0,0,0,28,0,0,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,26,0,0,55,0,0,0,0,0,0,0,0
USA-PIT,0,50,0,0,0,0,55,0,0,0,17,0,0,0,57,0,0,0,12,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2
USA-IOW,80,0,99,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,27,2,0,0,0,0,0,3,0,0,0,0,0,0,36,0,1,0,0,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0
