USA-JAF,USA-KAN,USA-NYM
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-BOI,USA-BIR
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CHI
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-ANC
USA-DET,USA-BOS
USA-ABU,USA-REN,USA-VIR
USA-PHX
USA-SFO,USA-MIN,USA-PIT,USA-WAS,USA-DAL
USA-SAT,USA-OKL,USA-SLT
USA-DEN
USA-LAX,USA-SAN
USA-COO,USA-SEA,USA-POR
USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-LIN
