USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-DET
USA-CHI
USA-ORL
USA-BOS
USA-OKL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-COO,USA-SEA,USA-POR
USA-PHX
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DEN
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-BOI,USA-ANC
USA-ATL
USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
