USA-DEN
USA-ATL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-DAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-ORL
USA-SEA,USA-SAT,USA-LAX
USA-JAF,USA-KAN,USA-OKL
USA-CHI
USA-BOI,USA-ANC
USA-POR,USA-SAN
USA-PHX
USA-DET,USA-BOS
USA-COO
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
