USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-HON,USA-IOW,USA-ANC
USA-BOI,USA-BIR
USA-JAF,USA-KAN
USA-ORL
USA-COO
USA-PIT
USA-LAX,USA-SAN
USA-PHX
USA-SEA,USA-POR
USA-DEN
USA-NEO,USA-SLT
USA-OKL
USA-DET
USA-NYM
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-SFO,USA-MIN,USA-WAS
USA-ATL
USA-JCS,USA-LIN
USA-HOU,USA-PHI
USA-BOS
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
