USA-PHX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-OKL
USA-ORL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO
USA-NEO,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-SEA,USA-SAT
USA-CHI
USA-ATL
USA-CUO,USA-CLE
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-PIT
USA-LAX,USA-SAN
USA-LIN
USA-BOS
USA-DEN
USA-DET
USA-DAL
USA-BOI,USA-ANC,USA-POR
USA-JAF,USA-KAN
USA-SFO,USA-MIN,USA-WAS
