USA-DES,USA-BIR,USA-LEK
USA-HOU,USA-PHI
USA-CRS,USA-CTN
USA-COO,USA-SEA,USA-SAT
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOS
USA-CHI
USA-OKL
USA-DAL
USA-NEO
USA-JCS,USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-NYM
USA-MIW,USA-MAW,USA-AUT,USA-RON,USA-NAS
USA-PHX
USA-ATL
USA-DEN
USA-JAF,USA-KAN
USA-HON,USA-IOW,USA-RAL,USA-LAX,USA-SAN
USA-DET
USA-ORL
USA-SFO,USA-POR
USA-PIT,USA-WAS,USA-SLT
USA-MIN
USA-BOI,USA-ANC
