USA-CHI
USA-PHX
USA-SEA,USA-POR
USA-ATL
USA-BOS
USA-CRS,USA-CTN
USA-DAL
USA-AUT,USA-SAT,USA-CUO,USA-CLE
USA-LIN
USA-BOI
USA-PIT
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-LAX,USA-SAN
USA-JAF,USA-KAN,USA-OKL
USA-DEN
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-COO
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-HOU,USA-PHI
USA-ANC
USA-DET
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-STL,USA-CIN,USA-IDO,USA-TPA
