USA-COO
USA-CUO,USA-CLE
USA-ATL
USA-OKL
USA-HOU,USA-PHI
USA-DAL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-DET
USA-NEO,USA-NYM,USA-SLT
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-BOS
USA-PHX
USA-POR,USA-SAN
USA-KAN
USA-BOI,USA-BIR
USA-SFO,USA-MIN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ORL
USA-PIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-SEA,USA-SAT,USA-LAX
USA-LIN
