USA-LAX,USA-SAN
USA-LIN
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-NEO,USA-SLT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-HOU,USA-PHI
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-JCS,USA-RAL
USA-JAF,USA-DES,USA-LEK
USA-DAL
USA-CHI
USA-DEN
USA-HON,USA-IOW,USA-ANC
USA-PIT
USA-NYM
USA-OKL
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-PHX
USA-ATL
USA-BOI,USA-BIR
USA-COO,USA-SEA,USA-POR
USA-ORL
