USA-COO
USA-DET
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOI,USA-ANC
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CHI
USA-PHX
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DAL
USA-SEA,USA-SAT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-DEN
USA-LAX,USA-SAN
USA-PIT
USA-OKL
USA-BOS
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-NYM
USA-ATL
USA-ORL
USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-NEO,USA-SLT
USA-POR
