USA-MIN,USA-PIT
USA-ORL
USA-SEA,USA-POR
USA-COO
USA-ANC
USA-PHX
USA-ATL
USA-BOI,USA-BIR
USA-JAF,USA-TLS,USA-DES,USA-LEK
USA-MIW,USA-MAW,USA-ABU,USA-REN,USA-LIT,USA-RON
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DET
USA-HOU,USA-PHI
USA-HON,USA-IOW
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-RAL,USA-VIR
USA-LIN
USA-DAL
USA-CHI
USA-OKL
USA-SFO,USA-DEN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-LAX,USA-SAN
USA-BOS
