USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-DAL
USA-CRS,USA-CTN
USA-NYM
USA-COO
USA-SEA,USA-POR
USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT
USA-SFO,USA-DEN,USA-WAS
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-OKL
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-MIW,USA-MIN,USA-AUT,USA-RON,USA-NAS
USA-BOI,USA-ANC
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-PHX
USA-PIT
USA-BOS
USA-DET
USA-HOU,USA-PHI
USA-ORL
USA-NEO,USA-SLT
USA-CHI
