USA-DEN
USA-HON,USA-IOW,USA-LIN
USA-LAX,USA-SAN
USA-POR
USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-COO
USA-DAL
USA-HOU,USA-PHI
USA-NEO,USA-NYM,USA-SLT
USA-BOS
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-PHX
USA-SEA,USA-SAT
USA-ANC,USA-ABU,USA-REN
USA-JCS,USA-RAL,USA-VIR
USA-DET
USA-MIW,USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-BOI,USA-BIR
USA-CHI
USA-PIT
USA-ATL
