USA-BOS
USA-HOU,USA-PHI
USA-ANC
USA-JAF,USA-KAN
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-NEO,USA-SLT
USA-SFO,USA-DEN,USA-WAS
USA-OKL
USA-BOI
USA-PIT
USA-COO,USA-SEA,USA-POR
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-ATL
USA-LAX,USA-SAN
USA-NYM
USA-ORL
USA-DET
USA-DAL
USA-PHX
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIN
