USA-LAX,USA-SAN
USA-DEN
USA-DAL
USA-OKL
USA-SEA,USA-POR
USA-DET
USA-HON,USA-IOW,USA-ANC
USA-CHI
USA-PIT
USA-HOU,USA-PHI
USA-ATL
USA-JCS,USA-LIN
USA-NYM
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-NEO,USA-SLT
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PHX
USA-COO
USA-ORL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-BOI,USA-BIR
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-BOS
