USA-COO
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-OKL
USA-BOS
USA-ORL
USA-PIT
USA-DET
USA-CHI
USA-MIN
USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-WAS,USA-SLT
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ATL
USA-DEN
USA-NEO
USA-PHX
USA-BOI,USA-ANC
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-NYM
USA-HOU,USA-PHI
