USA-DET
USA-ATL
USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LIN
USA-PHX
USA-BOI
USA-COO,USA-SEA,USA-POR
USA-SFO,USA-MIN,USA-WAS
USA-BOS
USA-CHI
USA-MIW,USA-SAT,USA-OKL
USA-JAF,USA-KAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PIT
USA-DEN
USA-ANC
USA-HOU,USA-PHI
USA-DES,USA-BIR,USA-LEK
USA-CUO,USA-CLE
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-ORL
