USA-SEA,USA-SAT,USA-LAX
USA-COO
USA-DET
USA-BOS
USA-HON,USA-IOW,USA-ANC
USA-DAL
USA-ATL
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-NYM
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-SLT
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-RAL,USA-CUO,USA-CLE
USA-CHI
USA-BOI
USA-ABU,USA-REN,USA-VIR
USA-PHX
USA-POR,USA-SAN
USA-JCS,USA-LIN
USA-ORL
USA-OKL
USA-JAF,USA-TLS,USA-KAN,USA-DES,USA-OMA
USA-DEN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
