USA-DET
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-MIN
USA-BOI,USA-BIR
USA-CHI
USA-LIN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-OKL
USA-DEN
USA-PIT
USA-ATL
USA-SFO,USA-KAN,USA-WAS
USA-PHX
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
USA-SEA,USA-POR
USA-NEO,USA-NYM,USA-SLT
USA-ORL
USA-LAX,USA-SAN
USA-COO
