USA-MIW,USA-NEO,USA-BIR
USA-DAL
USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-KAN
USA-LAX,USA-SAN
USA-COO
USA-SEA,USA-SAT
USA-HOU,USA-PHI
USA-OKL
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-PHX
USA-POR
USA-ATL
USA-BOS
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-BOI,USA-ANC
USA-CRS,USA-CTN
USA-JAF,USA-OMA
USA-PIT
USA-CHI
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-ORL
USA-DET
